0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.61,,,,,,656.39,,,,,,656.67,,,,,656.8,,,,,,,,,,,,657.28,,,,,,657.36,,,,,,,,,,,657.28,,,,,,,,,,,,657.22,,,,,,657.02,,,,,656.88,,,,,,656.67,,,,,,656.38,,,,,,656.28,,,,,,,,,,,,,,,,,655.87,,,,,,655.53,,,,,,655.7,,,,,655.62,,,,,,,,,,,,,,,,,655.45,,,,,,,,,,,,654.9,,,,,,654.67,,,,,,654.88,,,,,,,,,,,,,,,,,,,,,,655.7,,,,,655.67,,,,,,655.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.59,,,,,,656.59,,,,,,,,,,,,,,,,,,,,,,,657.13,,,,,,,,,,,657.4,,,,,,657.33,,,,,,,,,,,,657.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.29,,,,,,655.91,,,,,,,,,,,,,,,,,,,,,,,655.53,,,,,,655.58,,,,,655.52,,,,,,,,,,,,654.99,,,,,,,,,,,654.71,,,,,,654.95,,,,,,655.03,,,,,,655.14,,,,,,655.51,,,,,655.79,,,,,,,,,,,,,,,,655.65,,,,,,655.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.37,,,,,,656.7,,,,,,656.76,,,,,,,,,,,657.33,,,,,,,,,,,,,,,,,,657.31,,,,,656.97,,,,,,,,,,,,657.11,,,,,,656.86,,,,,,656.75,,,,,656.47,,,,,,656.31,,,,,,656.35,,,,,,,,,,,655.73,,,,,,,,,,,,655.69,,,,,,,,,,,,,,,,,,,,,,,655.46,,,,,654.98,,,,,,654.94,,,,,,654.72,,,,,,,,,,,,,,,,,655.2,,,,,,655.61,,,,,,,,,,655.71,,,,,,655.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.64,,,,,656.53,,,,,,,,,,,,,,,,,,,,,,,657.09,,,,,,,,,,,,657.34,,,,,,657.31,,,,,,,,,,,,,,,,,657.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.86,,,,,,,,,,,,655.42,,,,,655.53,,,,,,655.46,,,,,,655.53,,,,,,655.46,,,,,655.41,,,,,,,,,,,,,,,,,,654.74,,,,,,654.97,,,,,655.1,,,,,,,,,,,,,,,,,655.78,,,,,,,,,,,,,,,,,655.68,,,,,,655.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.36,,,,,,656.71,,,,,656.8,,,,,,,,,,,,657.27,,,,,,,,,,,,,,,,,657.29,,,,,,656.98,,,,,,657.26,,,,,,657.08,,,,,656.85,,,,,,656.72,,,,,,656.46,,,,,656.4,,,,,,656.3,,,,,,,,,,,,655.65,,,,,655.31,,,,,,,,,,,,,,,,,,,,,,,655.41,,,,,,,,,,,,655.01,,,,,,654.94,,,,,654.78,,,,,,,,,,,,655.19,,,,,,655.28,,,,,,655.63,,,,,,,,,,655.76,,,,,,655.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.61,,,,,,656.52,,,,,656.36,,,,,,656.72,,,,,,,,,,,,657.17,,,,,,,,,,,657.33,,,,,,657.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.5,,,,,,656.39,,,,,,,,,,,,655.82,,,,,,,,,,,,,,,,,655.48,,,,,,655.41,,,,,,655.47,,,,,,,,,,,655.35,,,,,,,,,,,,,,,,,,,,,,,655.07,,,,,,,,,,,,,,,,,,,,,,655.88,,,,,,,,,,,,,,,,,655.71,,,,,,655.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.77,,,,,,,,,,,657.21,,,,,,,,,,,,,,,,,,657.23,,,,,657,,,,,,657.3,,,,,,657.04,,,,,,656.89,,,,,656.71,,,,,,,,,,,,,,,,,656.33,,,,,,655.85,,,,,,655.61,,,,,,655.24,,,,,,,,,,,,,,,,,655.43,,,,,,655.35,,,,,,,,,,,655,,,,,,655,,,,,,654.82,,,,,655.11,,,,,,655.14,,,,,,655.39,,,,,,655.71,,,,,,,,,,655.77,,,,,,655.67,,,,,,,,,,,655.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.62,,,,,,656.53,,,,,,656.35,,,,,,656.75,,,,,,,,,,,657.1,,,,,,,,,,,,657.31,,,,,657.31,,,,,,657.21,,,,,,,,,,,,,,,,,657.08,,,,,,,,,,,,,,,,,,,,,,,656.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.47,,,,,,655.37,,,,,,,,,,,,,,,,,655.35,,,,,,655.02,,,,,,655.04,,,,,,654.88,,,,,,,,,,,,,,,,,655.46,,,,,,,,,,,655.93,,,,,655.81,,,,,655.7,,,,,,,655.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.62,,,,,,,,,,,,,,,,,,,,,,,656.77,,,,,,,,,,,,657.22,,,,,657.25,,,,,,,,,,,,,,,,,,657.06,,,,,657.2,,,,,,,,,,,,656.92,,,,,,656.7,,,,,,656.51,,,,,,,,,,,656.29,,,,,,655.84,,,,,,655.6,,,,,655.15,,,,,,,,,,,,,,,,,655.38,,,,,,655.32,,,,,,,,,,,,,,,,,,,,,,,654.85,,,,,,655.19,,,,,,655.17,,,,,,,,,,,655.76,,,,,,,,,,,,,,,,,,,,,,655.76,,,,,,655.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.56,,,,,656.29,,,,,,656.77,,,,,,,,,,,,657.12,,,,,,,,,,,,,,,,,657.31,,,,,657.25,,,,,,,,,,,,,,,,,,657.04,,,,,,,,,,,,,,,,,656.54,,,,,,656.31,,,,,,,,,,,,,,,,,655.62,,,,,,,,,,,,655.46,,,,,655.35,,,,,,,,,,,,,,,,,,655.35,,,,,655.06,,,,,,655.12,,,,,,,,,,,,,,,,,,,,,,,655.56,,,,,,655.73,,,,,655.97,,,,,655.85,,,,,,655.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.66,,,,,,656.49,,,,,,,,,,,,,,,,,,656.67,,,,,,,,,,,657.23,,,,,,657.22,,,,,,,,,,,,,,,,,657.04,,,,,,657.22,,,,,,,,,,,656.92,,,,,,656.7,,,,,,,,,,,,,,,,,656.31,,,,,,655.85,,,,,,,,,,,,655.14,,,,,,,,,,,,,,,,,655.34,,,,,,655.32,,,,,,,,,,,,,,,,,,,,,,,654.98,,,,,655.26,,,,,,655.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.85,,,,,,655.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.25,,,,,656.75,,,,,,,,,,,,657.02,,,,,,657.27,,,,,,,,,,,657.27,,,,,,,,,,,,,,,,,,,,,,,657.03,,,,,,,,,,,,,,,,,656.49,,,,,,656.26,,,,,,656.26,,,,,,,,,,,,655.55,,,,,,,,,,,655.33,,,,,,655.33,,,,,,,,,,,,,,,,,655.34,,,,,,655.08,,,,,,655.11,,,,,655.02,,,,,,,,,,,,655.33,,,,,,655.57,,,,,655.85,,,,,655.99,,,,,,655.9,,,,,655.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.64,,,,,656.42,,,,,,,,,,,,,,,,,,656.62,,,,,,657.07,,,,,,,,,,,657.25,,,,,,,,,,,,657.23,,,,,657,,,,,,657.19,,,,,,,,,,,,656.88,,,,,,656.74,,,,,,,,,,,656.28,,,,,,,,,,,,655.84,,,,,,,,,,,655.25,,,,,,,,,,,,,,,,,655.26,,,,,,655.36,,,,,,655.29,,,,,655.1,,,,,,,,,,,,,,,,,,655.25,,,,,,,,,,,655.56,,,,,,,,,,,655.99,,,,,,,,,,,,,,,,,655.84,,,,,655.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.2,,,,,,656.63,,,,,656.59,,,,,,,,,,,,657.19,,,,,,,,,,,,657.29,,,,,657.23,,,,,,,,,,,,657.2,,,,,,656.96,,,,,656.88,,,,,,,,,,,,656.46,,,,,,,,,,,656.25,,,,,,,,,,,,655.56,,,,,,,,,,,,655.3,,,,,655.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.08,,,,,,654.99,,,,,655.28,,,,,,655.43,,,,,,,,,,,,655.8,,,,,,,,,,655.92,,,,,,655.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.73,,,,,,656.45,,,,,,,,,,,656.62,,,,,,,,,,,,657.08,,,,,,,,,,,,657.28,,,,,657.28,,,,,,,,,,,,656.98,,,,,,,,,,,,,,,,,,,,,,,656.71,,,,,,,,,,,656.27,,,,,,,,,,,,655.81,,,,,,,,,,,,655.29,,,,,655.23,,,,,,,,,,,,655.27,,,,,,655.33,,,,,655.31,,,,,,655.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.57,,,,,,,,,,655.99,,,,,655.96,,,,,,,,,,,,655.91,,,,,,655.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.16,,,,,,,,,,,656.58,,,,,,,,,,,657.18,,,,,,,,,,,,,,,,,,657.2,,,,,,,,,,,657.15,,,,,,657,,,,,,656.83,,,,,,,,,,,656.45,,,,,,,,,,,,656.18,,,,,,,,,,,655.52,,,,,,,,,,,,,,,,,,655.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.19,,,,,,655.08,,,,,,655.4,,,,,,655.39,,,,,,,,,,,655.83,,,,,,,,,,,,,,,,655.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.7,,,,,656.47,,,,,,,,,,,,656.55,,,,,,,,,,,657.04,,,,,,,,,,,,657.28,,,,,,657.33,,,,,,,,,,,657,,,,,,,,,,,,,,,,,,,,,,,656.66,,,,,,,,,,,,656.32,,,,,,,,,,,655.76,,,,,,,,,,,,655.33,,,,,,655.28,,,,,,,,,,,655.27,,,,,,655.33,,,,,,655.3,,,,,655.22,,,,,,655.23,,,,,,655.14,,,,,,,,,,,,,,,,,655.59,,,,,,655.8,,,,,656.01,,,,,655.99,,,,,,,,,,,,655.97,,,,,655.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.18,,,,,,,,,,,656.64,,,,,,,,,,,,657.16,,,,,657.28,,,,,,,,,,,,657.22,,,,,,,,,,,,657.13,,,,,656.97,,,,,,656.79,,,,,,,,,,,,656.42,,,,,,,,,,,656.17,,,,,,,,,,,,655.54,,,,,,,,,,,,,,,,,655.27,,,,,,,,,,,655.42,,,,,,,,,,,,655.25,,,,,,,,,,,,,,,,,655.39,,,,,,655.47,,,,,,655.64,,,,,,,,,,,,,,,,,,,,,,655.98,,,,,655.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.72,,,,,,656.49,,,,,656.2,,,,,,656.56,,,,,,,,,,,,657.04,,,,,,,,,,,,,,,,,657.31,,,,,,,,,,,,656.95,,,,,,,,,,,,,,,,,,,,,,,656.65,,,,,,,,,,,656.31,,,,,,,,,,,,655.84,,,,,,,,,,,655.3,,,,,,655.4,,,,,,,,,,,,655.24,,,,,,,,,,,655.37,,,,,,,,,,,655.34,,,,,,655.25,,,,,,655.5,,,,,,655.56,,,,,,,,,,,655.88,,,,,655.98,,,,,655.95,,,,,,656.03,,,,,,,,,,,,656.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.65,,,,,,,,,,,657.15,,,,,,657.29,,,,,,,,,,,657.22,,,,,,,,,,,,657.19,,,,,,657.06,,,,,,656.88,,,,,,,,,,,656.38,,,,,,656.28,,,,,,656.2,,,,,655.84,,,,,,655.57,,,,,,,,,,,,,,,,,,655.33,,,,,655.23,,,,,,655.4,,,,,,655.45,,,,,655.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.68,,,,,,,,,,,,,,,,,,,,,,,,,,,655.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.76,,,,,656.55,,,,,,656.24,,,,,,656.56,,,,,,,,,,,656.98,,,,,,,,,,,,,,,,,657.26,,,,,,,,,,,,656.96,,,,,,,,,,,,,,,,,,,,,,,656.7,,,,,,656.37,,,,,,,,,,,656.19,,,,,,,,,,,,,,,,,,655.34,,,,,655.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.38,,,,,,655.3,,,,,655.58,,,,,,655.54,,,,,,,,,,,,655.85,,,,,655.94,,,,,655.96,,,,,655.98,,,,,,,,,,,,656.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.45,,,,,,,,,,,,657.03,,,,,657.27,,,,,,,,,,,,657.25,,,,,,,,,,,,657.21,,,,,657.05,,,,,,656.87,,,,,,,,,,,,,,,,,656.34,,,,,,,,,,,,655.86,,,,,,655.6,,,,,,,,,,,,,,,,,655.41,,,,,655.36,,,,,,655.47,,,,,,655.51,,,,,,655.35,,,,,,,,,,,655.38,,,,,,,,,,,,,,,,,,655.74,,,,,,,,,,,,,,,656,,,,,,,,,,,,655.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.8,,,,,,656.58,,,,,656.31,,,,,,656.5,,,,,,,,,,,,656.96,,,,,,,,,,,,,,,,,657.22,,,,,,,,,,,,657.05,,,,,,,,,,,,,,,,,,,,,,,656.73,,,,,656.44,,,,,,,,,,,,656.23,,,,,,,,,,,655.55,,,,,,655.39,,,,,,655.45,,,,,655.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.44,,,,,,,,,,,,655.65,,,,,,655.65,,,,,,,,,,,655.84,,,,,655.97,,,,,,,,,,,656.03,,,,,,,,,,,655.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.62,,,,,,,,,,,,656.5,,,,,,656.39,,,,,656.93,,,,,,657.06,,,,,,657.29,,,,,,,,,,,657.25,,,,,,657.11,,,,,,657.24,,,,,,657.09,,,,,656.96,,,,,,,,,,,,,,,,,,656.42,,,,,,,,,,,655.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.48,,,,,,655.55,,,,,655.51,,,,,,655.4,,,,,,,,,,,,655.38,,,,,,,,,,,,,,,,,655.8,,,,,,655.9,,,,,,,,,,655.99,,,,,,,,,,,655.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
